phenomenon,unit,geo_nuts,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
GEN_HH,THS_T,AT,4031.68,4020.3,3947.2,3788.39,,,,,,,,,,
GEN_HH,THS_T,AT11,127.1,125.7,121.89,92.39,,,,,,,,,,
GEN_HH,THS_T,AT12,839.3,824,807.4,823.29,,,,,,,,,,
GEN_HH,THS_T,AT13,875.28,870.9,874.63,858.56,,,,,,,,,,
GEN_HH,THS_T,AT21,231.95,247,243.05,195.55,,,,,,,,,,
GEN_HH,THS_T,AT22,516.01,512.5,513.86,470.01,,,,,,,,,,
GEN_HH,THS_T,AT31,696.06,697.5,688.22,623.86,,,,,,,,,,
GEN_HH,THS_T,AT32,257.4,256,253.34,251.2,,,,,,,,,,
GEN_HH,THS_T,AT33,358.01,358,317.1,350.35,,,,,,,,,,
GEN_HH,THS_T,AT34,130.57,128.7,127.71,123.18,,,,,,,,,,
GEN_HH,THS_T,DE,36624,36721.8,,,,,,,,,,,,
GEN_HH,THS_T,DE11,1735.6,1735.5,,,,,,,,,,,,
GEN_HH,THS_T,DE12,1268.9,1256.5,,,,,,,,,,,,
GEN_HH,THS_T,DE13,988.7,1004.4,,,,,,,,,,,,
GEN_HH,THS_T,DE14,707.3,706.8,,,,,,,,,,,,
GEN_HH,THS_T,DE21,1972.8,1981.9,,,,,,,,,,,,
GEN_HH,THS_T,DE22,553.4,556.5,,,,,,,,,,,,
GEN_HH,THS_T,DE23,486.5,481.8,,,,,,,,,,,,
GEN_HH,THS_T,DE24,564,548.9,,,,,,,,,,,,
GEN_HH,THS_T,DE25,819.9,815.3,,,,,,,,,,,,
GEN_HH,THS_T,DE26,669.3,658.2,,,,,,,,,,,,
GEN_HH,THS_T,DE27,875.1,851.3,,,,,,,,,,,,
GEN_HH,THS_T,DE30,1389.6,1393,,,,,,,,,,,,
GEN_HH,THS_T,DE40,963.2,963.6,,,,,,,,,,,,
GEN_HH,THS_T,DE50,287,287.2,,,,,,,,,,,,
GEN_HH,THS_T,DE60,790,786.8,,,,,,,,,,,,
GEN_HH,THS_T,DE71,1734.4,1751.3,,,,,,,,,,,,
GEN_HH,THS_T,DE72,474.3,485.7,,,,,,,,,,,,
GEN_HH,THS_T,DE73,580.2,568.7,,,,,,,,,,,,
GEN_HH,THS_T,DE80,682.1,676.4,,,,,,,,,,,,
GEN_HH,THS_T,DE91,756.7,768.3,,,,,,,,,,,,
GEN_HH,THS_T,DE92,1136.7,1164,,,,,,,,,,,,
GEN_HH,THS_T,DE93,805.6,808.7,,,,,,,,,,,,
GEN_HH,THS_T,DE94,1208.2,1209,,,,,,,,,,,,
GEN_HH,THS_T,DEA1,2419.2,2453.4,,,,,,,,,,,,
GEN_HH,THS_T,DEA2,2056.9,2072.5,,,,,,,,,,,,
